repo,deploymentFrequency,leadTimeForChanges,meanTimeToRecover,changeFailureRate
artf/grapesjs,22.526715825020226,37.0989235196628,73.12988752104378,62.99212598425197
artilleryio/artillery,17.19793546097193,214.27196624228395,430.64598560474536,20.338983050847457
atomiks/tippyjs,22.853129935645786,8.150548672027291,38.18020119598766,63
authelia/authelia,31.207421155431014,57.47380455690466,33.3295649005487,41.53005464480874
Automattic/node-canvas,9.550644745662693,54.56289440093906,585.1434098846654,46.2962962962963
avajs/ava,14.19970733701252,22.55396810949299,132.9531181106702,57.84313725490196
aws/aws-sdk-php,157.90101761858296,15.413442152903096,36.904940444084865,6.9987389659520804
aws/chalice,13.982862480303345,20.60181862532524,52.170022170057386,58.8235294117647
aws/karpenter,34.53086440924825,7.758769341271511,21.794740299823633,76.47058823529412
aws/serverless-application-model,10.648527215365492,67.70442837388347,234.19153957879448,37.93103448275862
beego/beego,4.884811525883747,70.27618261328391,218.39704475308645,65.21739130434783
Behat/Behat,6.927631514229619,51.70478703703703,128.91470547675334,23.170731707317074
benoitc/gunicorn,3.380560599082252,172.78611480001146,329.27341435185184,57.89473684210526
benthosdev/benthos,74.53952824434494,5.594164749302334,17.79218407064472,13.3630289532294
BishopFox/sliver,18.73962211622507,50.69739975594277,59.47564101344495,56.33802816901409
bitnami-labs/sealed-secrets,10.891337596876616,41.322118645028475,106.64614798664944,35.59322033898305
bitpay/wallet,42.056994395835964,18.97209864272167,27.580282003233393,14.655172413793103
blevesearch/bleve,6.578466843799038,202.24060849795424,214.77049272486772,16.27906976744186
bluejekyll/trust-dns,7.296064522930714,99.78730012311149,182.52814995659722,64.70588235294117
blynkkk/blynk-library,4.974794348259348,34.390279612265026,73.05071348566308,51.42857142857143
bookshelf/bookshelf,11.610531890763072,54.904109279085816,282.2823994055784,35.36585365853659
BoostIO/BoostNote-App,42.64464048817094,11.333980494310673,34.31307060185185,26.19047619047619
bottlerocket-os/bottlerocket,16.943110236348268,36.388990193488326,94.77677815027671,60.416666666666664
bower/bower,8.951780099189246,237.99200558538652,276.4180283320292,34.11764705882353
boyter/scc,6.66440716847299,65.75808519151475,167.4550551994302,79.3103448275862
bqplot/bqplot,14.135621074639227,39.00808370518029,180.97565127627627,20.408163265306122
briannesbitt/Carbon,34.34864466911081,348.30404480834494,60.77057656035665,40.49079754601227
bridgecrewio/checkov,816.3262953422584,1.8056332144429383,100.5782243130227,5.403192795742939
brndnmtthws/conky,1.7361839589378398,940.7065498573585,238.69344287367724,45.833333333333336
BrowserSync/browser-sync,26.298625209053082,8.86948214924339,37.67312875375375,14.084507042253522
bufbuild/buf,34.92500531556412,9.175996627721036,49.79318539292498,72.11538461538461
bufbuild/protoc-gen-validate,7.543872260349711,41.54989495915856,197.31109613289763,39.473684210526315
buger/goreplay,4.863710161369501,109.83739187062162,115.14960792824075,33.333333333333336
buildbot/buildbot,5.38039701579955,119.71254232103036,165.03738902505447,59.550561797752806
burnash/gspread,5.590967750138898,59.71603233273597,196.57477582846005,62.7906976744186
buttercup/buttercup-desktop,20.546717905342863,38.22339488709264,58.09878462656872,50.370370370370374
bvaughn/react-virtualized,41.065906843022816,10.612005699167435,153.27306182484568,37.688442211055275
bytebase/bytebase,30.787842657726394,11.792261133805374,29.386228566529493,53.65853658536585
callstack/react-native-paper,28.662869634099646,13.306555919195867,85.14554062126643,40.397350993377486
Canop/broot,36.85050265580137,6.160159057109976,26.994893162393158,29.78723404255319
caolan/async,6.371722815127406,78.5441045804447,145.99783055555557,44.73684210526316
carbon-app/carbon,47.276137981570976,7.136944047114501,58.39222464470285,25.229357798165136
caronc/apprise,8.12141564093726,18.584989958060138,47.94464414626491,78.94736842105263
