facebook/create-react-app,85,169,2800,1468601197,1662622847
facebook/react,140,229,15360,1369856771,1668568254
twbs/bootstrap,81,393,22024,1303937631,1668567104
mui/material-ui,389,874,20823,1408389114,1668552498
facebook/react-native,431,163,26084,1422580249,1668614692
nodejs/node,759,409,37561,1234742520,1668617772
jquery/jquery,154,108,6584,1142998387,1668447413
webpack/webpack,590,288,15206,1331381483,1668007643
atom/atom,568,316,38531,1313727119,1668609065
angular/angular,792,1805,25574,1411056721,1668619138
mermaid-js/mermaid,106,177,6322,1414885952,1668573964
strapi/strapi,264,517,25147,1443652216,1668618030
serverless/serverless,365,407,15525,1429588150,1668602531
prettier/prettier,118,604,6962,1480439650,1667728750
yarnpkg/yarn,171,114,2353,1453543577,1662404051
TryGhost/Ghost,610,917,31858,1367665753,1668583740
parcel-bundler/parcel,56,501,2828,1501952377,1667968473
cypress-io/cypress,287,647,19117,1402021171,1668618026
Leaflet/Leaflet,56,127,7470,1283352930,1668427982
vuejs/vue-cli,182,119,3531,1514148206,1667962736
sequelize/sequelize,617,186,9678,1279826724,1668546991
GoogleChrome/lighthouse,119,374,5441,1452878000,1668552970
transloadit/uppy,63,217,9132,1447677154,1668608394
Kong/insomnia,118,124,3797,1458107382,1668615778
rollup/rollup,609,257,5052,1431642351,1668230677
swagger-api/swagger-ui,299,155,5502,1311616565,1667976820
mochajs/mocha,190,110,3594,1314587614,1668536838
quasarframework/quasar,79,152,12490,1444059936,1668443917
eslint/eslint,314,696,8665,1372549714,1668565270
avajs/ava,103,102,1954,1416331152,1668434988
handsontable/handsontable,206,143,7714,1306190479,1668590153
angular/material,116,524,4949,1404242812,1649704706
youzan/vant-weapp,130,126,2478,1482136217,1668396364
Budibase/budibase,1581,136,27498,1553031921,1668605843
appium/appium,533,179,9249,1357771790,1668461816
netlify/netlify-cms,103,181,4088,1456389956,1653647153
ToolJet/ToolJet,136,702,3457,1617197929,1668618942
angular-ui/bootstrap,60,135,2073,1349461621,1507998922
bootstrap-vue/bootstrap-vue,154,224,5347,1475942330,1666746599
ether/etherpad-lite,61,102,8021,1301145041,1667822990
Semantic-Org/Semantic-UI-React,305,124,3105,1443708831,1666171473
mishoo/UglifyJS,271,890,3298,1338116941,1668393326
reactioncommerce/reaction,187,134,21137,1379518236,1667279005
wenzhixin/bootstrap-table,59,380,4660,1377012908,1668323783
caddyserver/caddy,116,119,1533,1553623254,1668443882
gohugoio/hugo,209,459,7280,1372951586,1668532868
etcd-io/etcd,229,146,18806,1370565812,1668599175
prometheus/prometheus,273,148,10562,1353755652,1668607789
moby/moby,338,548,44993,1358554419,1668604315
kubernetes/kubernetes,976,5098,112130,1402098048,1668608089
ethereum/go-ethereum,193,146,13795,1388058352,1668608532
go-gitea/gitea,164,1687,14140,1392170503,1668597298
pingcap/tidb,238,3206,18959,1441512282,1668595195
hashicorp/terraform,259,1825,30590,1400714933,1668532071
cli/cli,104,390,6118,1570159231,1668517870
docker/compose,199,193,3683,1586184040,1668600293
hashicorp/consul,214,207,19247,1383603327,1668578857
hashicorp/vault,193,147,16197,1424823359,1668621202
influxdata/influxdb,401,525,35219,1365690807,1668606026
kubernetes/minikube,137,1009,20249,1460759915,1668620651
cockroachdb/cockroach,302,2840,74827,1391645927,1668618823
helm/helm,171,249,6722,1446508376,1668614229
portainer/portainer,108,300,3555,1370736734,1668621308
dapr/dapr,138,483,3689,1561069106,1668572915
grafana/k6,75,134,4857,1458579106,1668442075
grpc/grpc-go,132,299,4318,1421456611,1668126979
dgraph-io/dgraph,163,147,5763,1440486956,1668270928
goharbor/harbor,230,156,11457,1454327950,1668587934
containers/podman,175,1260,17177,1509548487,1668549453
vitessio/vitess,113,316,31989,1330154383,1668619513
aquasecurity/trivy,103,227,1732,1553675618,1668585973
pulumi/pulumi,363,606,8423,1475967685,1668588757
milvus-io/milvus,256,520,16074,1552908789,1668596708
ipfs/kubo,134,265,13720,1403768328,1668594419
kubernetes/kops,195,141,18394,1459205428,1668616370
hashicorp/packer,110,828,18060,1364017313,1668526954
cilium/cilium,465,724,20920,1450269211,1668592528
GoogleContainerTools/skaffold,123,422,8405,1515007955,1668550984
gravitational/teleport,1414,541,9735,1425324960,1668620579
containerd/containerd,156,154,11264,1446766193,1668611816
hashicorp/nomad,201,581,23965,1433154060,1668616638
nats-io/nats-server,77,110,6526,1351527145,1668557140
argoproj/argo-workflows,299,858,3945,1508276328,1668542780
influxdata/telegraf,212,847,7061,1427905724,1668608297
kubernetes/dashboard,60,138,4402,1444950554,1668444401
golangci/golangci-lint,117,103,2081,1525441275,1668457672
thanos-io/thanos,92,113,2958,1509557884,1668588312
argoproj/argo-cd,238,705,4730,1518655987,1668620525
elastic/beats,223,677,16020,1391626862,1668603874
projectdiscovery/nuclei,60,245,3446,1585939587,1667854337
goreleaser/goreleaser,507,187,4174,1482323734,1668601974
rook/rook,159,702,9331,1468017869,1668616467
tailscale/tailscale,85,129,4838,1580508004,1668620318
cert-manager/cert-manager,145,383,7285,1500453553,1668620244
JanDeDobbeleer/oh-my-posh,895,110,2204,1552475670,1668584245
go-swagger/go-swagger,59,187,2966,1416163841,1667686090
openshift/origin,72,255,35174,1406744262,1668616849
twpayne/chezmoi,151,143,3832,1541021802,1668463185
flynn/flynn,724,116,7416,1373652344,1630772259
TykTechnologies/tyk,364,204,4036,1399472198,1668168994
hashicorp/terraform-provider-aws,285,1670,59016,1401409718,1668614548
prometheus-operator/prometheus-operator,110,114,5354,1474458493,1668594390
open-policy-agent/opa,141,310,4296,1451340505,1668510973
lucas-clemente/quic-go,67,144,5839,1459973741,1668555755
tektoncd/pipeline,112,281,3449,1535566916,1668594768
sourcegraph/sourcegraph,473,1235,25970,1493875306,1668618471
vmware-tanzu/velero,103,132,3395,1501694837,1668501200
concourse/concourse,371,305,26490,1397434264,1668569057
lightningnetwork/lnd,138,267,13917,1445986196,1668597466
tilt-dev/tilt,213,232,4615,1533657605,1668620520
crossplane/crossplane,89,112,4177,1536384153,1668455653
operator-framework/operator-sdk,99,153,3104,1518026032,1668554193
kubeedge/kubeedge,53,220,4526,1538125070,1668581104
aquasecurity/tfsec,322,103,1305,1551718642,1666715376
chaos-mesh/chaos-mesh,59,117,1639,1567564195,1668565795
tendermint/tendermint,241,114,9067,1397867517,1668538081
scrapy/scrapy,108,107,9425,1241460980,1668588474
huggingface/transformers,112,120,11345,1540821362,1668619206
scikit-learn/scikit-learn,100,668,29242,1262697992,1668615570
python/cpython,525,130,115286,650211915,1668620249
ansible/ansible,471,5649,53217,1330024644,1668525957
yt-dlp/yt-dlp,68,264,21268,1216674751,1668561777
commaai/openpilot,73,128,8034,1579284172,1668619536
localstack/localstack,57,211,3789,1471333372,1668607339
pandas-dev/pandas,139,3033,30672,1249052836,1668613261
certbot/certbot,117,282,10584,1337280610,1668465329
explosion/spaCy,128,202,15692,1404400540,1668604150
apache/airflow,223,1064,18019,1412630978,1668613423
tqdm/tqdm,152,102,1928,1382813404,1662202582
python-poetry/poetry,118,228,2665,1519163262,1668615934
numpy/numpy,210,511,30811,1008690310,1668615553
pypa/pipenv,339,118,8039,1484873062,1668331715
Lightning-AI/lightning,150,759,8177,1553993158,1668593222
celery/celery,227,162,12067,1240572600,1668595885
streamlit/streamlit,1105,265,5095,1515543330,1668559635
freqtrade/freqtrade,66,133,18654,1494609116,1668576986
saleor/saleor,428,253,20057,1360687599,1668600318
bokeh/bokeh,103,1192,19864,1332650781,1668620804
zulip/zulip,92,562,49193,1346172110,1668610246
matplotlib/matplotlib,115,313,44930,1052752838,1668589433
jina-ai/jina,361,279,8017,1581613485,1668610854
ipython/ipython,107,385,26166,1120672352,1668615098
huggingface/datasets,62,279,3201,1586853350,1668595270
RasaHQ/rasa,445,376,30798,1476448069,1668439982
python/mypy,72,556,10759,1351693223,1668618972
wagtail/wagtail,194,410,14155,1390393643,1668439817
mlflow/mlflow,108,206,3486,1528214934,1668588209
saltstack/salt,237,1569,115237,1298233112,1668591906
aws/aws-cli,1848,128,10713,1353023040,1668539378
horovod/horovod,73,104,1266,1502307599,1668610077
pytorch/vision,81,128,3198,1478740260,1668613461
frappe/erpnext,1024,331,43569,1307524035,1668611494
pydantic/pydantic,92,284,1459,1493846621,1668200362
netbox-community/netbox,244,304,10507,1456849383,1668616485
ansible/awx,64,167,32593,1362060620,1668615833
PrefectHQ/prefect,152,168,13312,1626118590,1668616339
iterative/dvc,414,816,8147,1488615393,1668564562
python-pillow/Pillow,82,104,14009,1280544061,1668605915
matrix-org/synapse,522,134,21798,1407852652,1668612335
pyinstaller/pyinstaller,55,104,8549,1125679389,1668522835
pytest-dev/pytest,178,172,14793,1169648641,1668514299
secdev/scapy,527,126,6091,1048681573,1668600094
pypa/pip,133,232,13425,1224108177,1668264382
modin-project/modin,60,663,2053,1529622672,1668597814
numba/numba,189,429,23595,1331205308,1668471060
spyder-ide/spyder,185,412,26295,1249807817,1668547975
alacritty/alacritty,79,201,2045,1456071341,1668521408
denoland/deno,208,830,8206,1526268721,1668618778
rust-lang/rust,104,3649,210204,1276723845,1668594444
starship/starship,126,248,2430,1554175383,1668539332
nushell/nushell,64,259,6227,1557507552,1668620272
meilisearch/meilisearch,156,145,4476,1524405274,1668616844
swc-project/swc,301,966,6180,1513947096,1668577847
wasmerio/wasmer,63,128,12444,1539286176,1668086319
tikv/tikv,180,454,6846,1452142924,1668590036
vectordotdev/vector,67,658,8539,1536864291,1668619744
clap-rs/clap,225,207,6743,1424871393,1668616046
bytecodealliance/wasmtime,57,138,10537,1452645287,1668617681
rust-lang/cargo,76,415,12991,1393974978,1668600214
rust-lang/rust-clippy,143,830,15511,1416383446,1668619951
openethereum/parity-ethereum,295,234,12342,1448277142,1580917458
datafuselabs/databend,589,317,21378,1602325961,1668608937
