repo,deploymentFrequency,leadTimeForChanges,meanTimeToRecover,changeFailureRate
eclipse-theia/theia,15.491099455705942,34.61000627046024,87.64900257513578,84.52380952380952
elastic/beats,25.571365365054895,117.26026828798076,201.7753381581883,42.20183486238532
elastic/eui,94.88638689142314,3.2986541368910403,79.53272666109874,56.9327731092437
electron/electron,173.30689144288573,55.58514802374063,112.38516235514055,22.160493827160494
envoyproxy/envoy,15.62845336998491,46.50227929456694,77.31716334248493,29.347826086956523
eslint/eslint,33.43471260738318,8.326730482523134,33.523868774170104,71.97452229299363
etcd-io/etcd,24.64964794306583,71.03550919539903,81.84151515548567,40.08810572687225
ether/etherpad-lite,5.793282745842863,66.63113956732384,387.52069953882454,75.43859649122807
explosion/spaCy,17.763539219210134,38.41021372815644,79.1831407391388,57.93650793650794
facebook/docusaurus,24.380938882959747,35.84104285745399,84.14427822536892,54.23728813559322
facebook/jest,32.1419435699994,398.17973284742425,263.4605165076693,58.24175824175824
facebook/react,11.165573218120686,509.1632608348959,610.6603732553027,23
firebase/firebase-tools,34.34243585785063,15.566446715771058,71.29839856902358,50.87108013937282
framer/motion,160.4875300311408,10.151135543496478,94.51255363984676,23.214285714285715
frappe/erpnext,113.95685536242908,42.82825104806889,80.5474481605025,47.98822374877331
frappe/frappe,114.44298740404213,58.9369272367972,109.51725315410438,34.01759530791789
freqtrade/freqtrade,11.992558700664004,38.46326433594741,45.39804704129417,90.1639344262295
fwupd/fwupd,16.233233474677714,27.276112333822415,41.125805096195414,70.96774193548387
getsentry/sentry-javascript,34.27259531959099,100.97975125387428,50.02710469669436,38.37837837837838
gitpod-io/gitpod,29.88164893025258,31.504134823582408,46.81531788264167,42.857142857142854
gnuradio/gnuradio,10.0562007027221,226.54018351820716,318.84238208912035,32.25806451612903
go-gitea/gitea,26.878567727171948,54.293128972714904,131.11661419794862,68.15286624203821
goharbor/harbor,25.78840412194434,44.196609860151405,71.0312551049148,30
golangci/golangci-lint,25.7406616368697,15.221165880459644,83.38415998931625,62.280701754385966
GoogleChrome/lighthouse,14.825527718042547,21.254099370416338,130.19662358539094,76.59574468085107
GoogleContainerTools/skaffold,22.79867761734944,30.470604389228882,64.2443790753782,78.50467289719626
google/filament,26.81390781475396,23.501447821449602,49.1793894837575,72.56637168141593
googleforgames/agones,17.90930329137967,17.581180982186112,72.81167047930283,50.63291139240506
gopasspw/gopass,12.89154123860339,24.40761971645053,93.81667127889166,68.91891891891892
goreleaser/goreleaser,86.90329086773211,4.074435262951156,20.293681822789946,60.79207920792079
grafana/grafana,42.22208899492907,30.693072445576792,75.14930235627864,68.22429906542057
grommet/grommet,18.681815617155955,16.66795637989039,63.76285683410683,52.51798561151079
grpc/grpc-go,21.113610428032413,25.355247333416802,121.93445083400591,48.484848484848484
habitat-sh/habitat,130.01372319219482,38.30932364995801,84.2932029155496,15.635545556805399
HabitRPG/habitica,104.85856619193984,64.18688854230261,86.2414447613536,22.266401590457257
halo-dev/halo,20.705277351355228,25.425496052328267,46.4560666483315,58.51063829787234
handsontable/handsontable,22.597922084465594,151.67998532038234,258.19108567106707,87.25490196078431
hashicorp/consul,24.91830768494776,36.64412260552928,136.93834939468212,56.33802816901409
hashicorp/nomad,27.94331388047473,30.134729888633405,97.9446982904128,68.18181818181819
hashicorp/packer,11.565048612339872,70.19100898322682,128.35950681074618,87.96296296296296
hashicorp/terraform-provider-azurerm,40.09819373168121,9.6140098832075,81.24973907702675,89.40092165898618
