jhipster/generator-jhipster,High,Medium,Medium,Terrible,Medium
kubeedge/kubeedge,High,Medium,Medium,Terrible,Medium
kubernetes/kops,High,Medium,Medium,Terrible,Medium
kubernetes/minikube,High,Medium,Medium,Terrible,Medium
kubevela/kubevela,High,Medium,Medium,Terrible,Medium
kyverno/kyverno,High,Medium,Medium,Terrible,Medium
lensapp/lens,High,Medium,Medium,Terrible,Medium
Lightning-AI/lightning,High,Medium,Medium,Terrible,Medium
LiskHQ/lisk-sdk,High,Medium,Medium,Terrible,Medium
mapbox/mapbox-gl-js,High,Medium,Medium,Terrible,Medium
marmelab/react-admin,High,Medium,Medium,Terrible,Medium
mattermost/focalboard,High,Medium,Medium,Terrible,Medium
mermaid-js/mermaid,High,Medium,Medium,Terrible,Medium
MetaMask/metamask-extension,High,Medium,Medium,Terrible,Medium
microsoft/azuredatastudio,High,Medium,Medium,Terrible,Medium
microsoft/onefuzz,High,Medium,Medium,Terrible,Medium
microsoft/playwright,High,Medium,Medium,Terrible,Medium
microsoft/terminal,High,Medium,Medium,Terrible,Medium
milvus-io/milvus,High,Medium,Medium,Terrible,Medium
mlflow/mlflow,High,Medium,Medium,Terrible,Medium
moby/moby,High,Medium,Medium,Terrible,Medium
mui/material-ui,High,Medium,Medium,Terrible,Medium
netbox-community/netbox,High,Medium,Medium,Terrible,Medium
nextcloud/desktop,High,Medium,Medium,Terrible,Medium
ng-bootstrap/ng-bootstrap,High,Medium,Medium,Terrible,Medium
NG-ZORRO/ng-zorro-antd,High,Medium,Medium,Terrible,Medium
nodejs/node,High,Medium,Medium,Terrible,Medium
nrwl/nx,High,Medium,Medium,Terrible,Medium
obsproject/obs-studio,High,Medium,Medium,Terrible,Medium
openlayers/openlayers,High,Medium,Medium,Terrible,Medium
open-policy-agent/gatekeeper,High,Medium,Medium,Terrible,Medium
openshift/origin,High,Medium,Medium,Terrible,Medium
operator-framework/operator-sdk,High,Medium,Medium,Terrible,Medium
osquery/osquery,High,Medium,Medium,Terrible,Medium
palantir/plottable,High,Medium,Medium,Terrible,Medium
pixijs/pixijs,High,Medium,Medium,Terrible,Medium
pnpm/pnpm,High,Medium,Medium,Terrible,Medium
portainer/portainer,High,Medium,Medium,Terrible,Medium
PostHog/posthog,High,Medium,Medium,Terrible,Medium
prettier/prettier,High,Medium,Medium,Terrible,Medium
prisma/prisma,High,Medium,Medium,Terrible,Medium
projectcontour/contour,High,Medium,Medium,Terrible,Medium
projectdiscovery/nuclei,High,Medium,Medium,Terrible,Medium
prysmaticlabs/prysm,High,Medium,Medium,Terrible,Medium
pulumi/pulumi,High,Medium,Medium,Terrible,Medium
puppeteer/puppeteer,High,Medium,Medium,Terrible,Medium
pydantic/pydantic,High,Medium,Medium,Terrible,Medium
python-poetry/poetry,High,Medium,Medium,Terrible,Medium
rapidsai/cudf,High,Medium,Medium,Terrible,Medium
rapidsai/cuml,High,Medium,Medium,Terrible,Medium
RasaHQ/rasa,High,Medium,Medium,Terrible,Medium
react-hook-form/react-hook-form,High,Medium,Medium,Terrible,Medium
reactioncommerce/reaction,High,Medium,Medium,Terrible,Medium
RedisGraph/RedisGraph,High,Medium,Medium,Terrible,Medium
redpanda-data/redpanda,High,Medium,Medium,Terrible,Medium
redwoodjs/redwood,High,Medium,Medium,Terrible,Medium
vuejs/vue,High,Medium,Medium,Terrible,Medium
pypa/pipenv,High,Medium,Medium,Terrible,Medium
youzan/vant-weapp,High,Medium,Medium,Terrible,Medium
twpayne/chezmoi,High,Medium,Medium,Terrible,Medium
electron-userland/electron-builder,High,Medium,Medium,Terrible,Medium
software-mansion/react-native-reanimated,High,Medium,Medium,Terrible,Medium
starship/starship,High,Medium,Medium,Terrible,Medium
tailscale/tailscale,High,Medium,Medium,Terrible,Medium
RIOT-OS/RIOT,High,Medium,Medium,Terrible,Medium
tikv/tikv,High,Medium,Medium,Terrible,Medium
Tribler/tribler,High,Medium,Medium,Terrible,Medium
gravitational/teleport,Terrible,Medium,Medium,High,Medium
zephyrproject-rtos/zephyr,High,Medium,Medium,Terrible,Medium
rook/rook,High,Medium,Medium,Terrible,Medium
rsyslog/rsyslog,High,Medium,Medium,Terrible,Medium
rust-lang/rustfmt,High,Medium,Medium,Terrible,Medium
Semantic-Org/Semantic-UI-React,High,Medium,Medium,Terrible,Medium
sequelize/sequelize,High,Medium,Medium,Terrible,Medium
serverless/serverless,High,Medium,Medium,Terrible,Medium
shaka-project/shaka-player,High,Medium,Medium,Terrible,Medium
spulec/moto,High,Medium,Medium,Terrible,Medium
sqlfluff/sqlfluff,High,Medium,Medium,Terrible,Medium
StarRocks/starrocks,High,Medium,Medium,Terrible,Medium
stellar/stellar-core,High,Medium,Medium,Terrible,Medium
storybookjs/storybook,High,Medium,Medium,Terrible,Medium
strapi/strapi,High,Medium,Medium,Terrible,Medium
stylelint/stylelint,High,Medium,Medium,Terrible,Medium
surveyjs/survey-library,High,Medium,Medium,Terrible,Medium
sveltejs/svelte,High,Medium,Medium,Terrible,Medium
swagger-api/swagger-ui,High,Medium,Medium,Terrible,Medium
swaywm/sway,High,Medium,Medium,Terrible,Medium
taichi-dev/taichi,High,Medium,Medium,Terrible,Medium
teambit/bit,High,Medium,Medium,Terrible,Medium
tensorflow/tensorflow,High,Medium,Medium,Terrible,Medium
thelounge/thelounge,High,Medium,Medium,Terrible,Medium
timescale/timescaledb,High,Medium,Medium,Terrible,Medium
tusen-ai/naive-ui,High,Medium,Medium,Terrible,Medium
vega/vega-lite,High,Medium,Medium,Terrible,Medium
vmware-tanzu/kubeapps,High,Medium,Medium,Terrible,Medium
vmware-tanzu/velero,High,Medium,Medium,Terrible,Medium
VSCodeVim/Vim,High,Medium,Medium,Terrible,Medium
vuejs/vue-cli,High,Medium,Medium,Terrible,Medium
vuetifyjs/vuetify,High,Medium,Medium,Terrible,Medium
wagtail/wagtail,High,Medium,Medium,Terrible,Medium
wasmerio/wasmer,High,Medium,Medium,Terrible,Medium
wazuh/wazuh,High,Medium,Medium,Terrible,Medium
webpack/webpack,High,Medium,Medium,Terrible,Medium
wix/Detox,High,Medium,Medium,Terrible,Medium
yarnpkg/yarn,High,Medium,Medium,Terrible,Medium
yt-dlp/yt-dlp,High,Medium,Medium,Terrible,Medium
zulip/zulip,High,Medium,Medium,Terrible,Medium
celery/celery,High,Medium,Low,Terrible,Medium
containerd/containerd,High,Low,Medium,Terrible,Medium
elastic/beats,High,Medium,Low,Terrible,Medium
handsontable/handsontable,High,Medium,Low,Terrible,Medium
hashicorp/vault,High,Medium,Low,Terrible,Medium
jsx-eslint/eslint-plugin-react,High,Medium,Low,Terrible,Medium
kata-containers/kata-containers,High,Low,Medium,Terrible,Medium
kiali/kiali,High,Low,Medium,Terrible,Medium
mochajs/mocha,High,Medium,Low,Terrible,Medium
pandas-dev/pandas,High,Medium,Low,Terrible,Medium
pingcap/tidb,High,Medium,Low,Terrible,Medium
PX4/PX4-Autopilot,High,Low,Medium,Terrible,Medium
pytest-dev/pytest,High,Medium,Low,Terrible,Medium
tqdm/tqdm,High,Medium,Low,Terrible,Medium
saltstack/salt,High,Low,Medium,Terrible,Medium
spyder-ide/spyder,High,Medium,Low,Terrible,Medium
TryGhost/Ghost,High,Low,Medium,Terrible,Medium
webdriverio/webdriverio,High,Low,Medium,Terrible,Medium
wesnoth/wesnoth,High,Medium,Low,Terrible,Medium
alibaba/nacos,Medium,Medium,Medium,Terrible,Low
apache/skywalking,Medium,Medium,Medium,Terrible,Low
bitcoin/bitcoin,High,Low,Low,Terrible,Low
bokeh/bokeh,Medium,Medium,Medium,Terrible,Low
CesiumGS/cesium,High,Low,Low,Terrible,Low
facebook/jest,High,Low,Low,Terrible,Low
freqtrade/freqtrade,Medium,Medium,Medium,Terrible,Low
hashicorp/packer,Medium,Medium,Medium,Terrible,Low
highcharts/highcharts,Medium,Medium,Medium,Terrible,Low
keepassxreboot/keepassxc,Medium,Medium,Medium,Terrible,Low
kubernetes/dashboard,Medium,Medium,Medium,Terrible,Low
localstack/localstack,Medium,Medium,Medium,Terrible,Low
nats-io/nats-server,Medium,Medium,Medium,Terrible,Low
netdata/netdata,Medium,Medium,Medium,Terrible,Low
OpenAPITools/openapi-generator,Medium,Medium,Medium,Terrible,Low
opencv/opencv,Medium,Medium,Medium,Terrible,Low
sass/libsass,Medium,Medium,Medium,Terrible,Low
twbs/bootstrap,Medium,Medium,Medium,Terrible,Low
wenzhixin/bootstrap-table,Medium,Medium,Medium,Terrible,Low
bytecodealliance/wasmtime,Medium,Low,Medium,Terrible,Low
ckeditor/ckeditor5,Medium,Low,Medium,Terrible,Low
ether/etherpad-lite,Medium,Medium,Low,Terrible,Low
jquery/jquery,Medium,Medium,Low,Terrible,Low
matplotlib/matplotlib,Medium,Medium,Low,Terrible,Low
minetest/minetest,Medium,Medium,Low,Terrible,Low
numpy/numpy,Medium,Medium,Low,Terrible,Low
pyinstaller/pyinstaller,Medium,Low,Medium,Terrible,Low
pypa/pip,Medium,Medium,Low,Terrible,Low
python-pillow/Pillow,Medium,Medium,Low,Terrible,Low
scikit-learn/scikit-learn,Medium,Medium,Low,Terrible,Low
scrapy/scrapy,Medium,Medium,Low,Terrible,Low
Warzone2100/warzone2100,Medium,Low,Medium,Terrible,Low
gnuradio/gnuradio,Medium,Low,Low,Terrible,Low
Leaflet/Leaflet,Medium,Low,Low,Terrible,Low
LMMS/lmms,Medium,Low,Low,Terrible,Low
NixOS/nix,Medium,Low,Low,Terrible,Low
open-mpi/ompi,Medium,Low,Low,Terrible,Low
python/cpython,Medium,Low,Low,Terrible,Low
transmission/transmission,Medium,Low,Low,Terrible,Low
