Automattic/simplenote-electron,1,2,1,2,7
avajs/ava,1,2,1,1,7
babel/babel,2,1,1,2,7
chaos-mesh/chaos-mesh,1,1,2,2,7
cilium/cilium,1,1,2,1,7
concourse/concourse,1,1,2,3,7
conda/conda,1,1,2,1,7
crossplane/crossplane,1,1,2,2,7
darkreader/darkreader,1,2,1,1,7
dbt-labs/dbt-core,1,1,2,1,7
dgraph-io/dgraph,1,1,2,2,7
docker/compose,1,1,2,2,7
eclipse-theia/theia,1,1,2,1,7
envoyproxy/envoy,1,1,2,3,7
etcd-io/etcd,1,1,2,2,7
explosion/spaCy,1,1,2,1,7
facebook/docusaurus,1,1,2,1,7
getsentry/sentry-javascript,1,1,2,2,7
gitpod-io/gitpod,1,1,2,2,7
goharbor/harbor,1,1,2,3,7
GoogleChrome/lighthouse,1,2,1,1,7
GoogleContainerTools/skaffold,1,1,2,1,7
gopasspw/gopass,1,2,1,1,7
grafana/grafana,1,1,2,1,7
grpc/grpc-go,1,2,1,2,7
hashicorp/vault,1,2,1,2,7
hummingbot/hummingbot,1,1,2,1,7
jhipster/generator-jhipster,1,1,2,1,7
kata-containers/kata-containers,1,1,2,1,7
kubeedge/kubeedge,1,1,2,1,7
LiskHQ/lisk-sdk,1,1,2,1,7
microsoft/terminal,1,1,2,1,7
milvus-io/milvus,1,1,2,1,7
mui/material-ui,1,1,2,1,7
openlayers/openlayers,1,1,2,1,7
openshift/origin,1,1,2,1,7
PCSX2/pcsx2,3,0,1,4,7
PostHog/posthog,1,1,2,1,7
prisma/prisma,1,1,2,1,7
prysmaticlabs/prysm,1,1,2,1,7
pydantic/pydantic,1,2,1,1,7
rapidsai/cudf,1,1,2,1,7
rapidsai/cuml,1,1,2,2,7
reactioncommerce/reaction,1,1,2,2,7
RedisGraph/RedisGraph,1,1,2,1,7
vuejs/vue,1,2,1,2,7
Tribler/tribler,1,1,2,1,7
zephyrproject-rtos/zephyr,1,1,2,1,7
rook/rook,1,1,2,1,7
rsyslog/rsyslog,1,2,1,1,7
sequelize/sequelize,1,2,1,2,7
serverless/serverless,1,1,2,2,7
Shopify/polaris,2,1,1,3,7
strapi/strapi,1,2,1,1,7
stylelint/stylelint,1,2,1,1,7
swagger-api/swagger-ui,1,2,1,2,7
vega/vega-lite,1,2,1,1,7
VSCodeVim/Vim,1,2,1,1,7
wasmerio/wasmer,1,1,2,1,7
akveo/nebular,1,1,1,3,6
angular/flex-layout,1,1,1,2,6
ansible/awx,1,1,1,0,6
apache/echarts,1,1,1,1,6
appium/appium,1,1,1,3,6
bazelbuild/bazel,1,1,1,1,6
betaflight/betaflight,1,1,1,2,6
bootstrap-vue/bootstrap-vue,1,1,1,1,6
canonical/multipass,1,1,1,2,6
certbot/certbot,1,1,1,1,6
chainer/chainer,1,1,1,1,6
citusdata/citus,1,1,1,2,6
clap-rs/clap,1,1,1,1,6
containerd/containerd,1,1,1,1,6
cupy/cupy,1,1,1,1,6
defold/defold,1,1,1,1,6
elastic/beats,1,1,1,2,6
go-gitea/gitea,1,1,1,1,6
handsontable/handsontable,1,1,1,1,6
hashicorp/consul,1,1,1,1,6
hashicorp/nomad,1,1,1,1,6
helm/helm,1,1,1,1,6
influxdata/telegraf,1,1,1,1,6
ionic-team/ionic-framework,1,1,1,2,6
jsx-eslint/eslint-plugin-react,1,1,1,1,6
kubernetes/kops,1,1,1,1,6
mapbox/mapbox-gl-js,1,1,1,1,6
meilisearch/meilisearch,1,1,1,2,6
MetaMask/metamask-extension,1,1,1,1,6
moby/moby,1,1,1,2,6
mochajs/mocha,1,1,1,1,6
NativeScript/NativeScript,1,1,1,3,6
nextcloud/desktop,1,1,1,1,6
nodejs/node,1,1,1,2,6
obsproject/obs-studio,1,1,1,2,6
pingcap/tidb,1,1,1,1,6
pixijs/pixijs,1,1,1,2,6
portainer/portainer,1,1,1,1,6
prettier/prettier,1,1,1,1,6
PX4/PX4-Autopilot,1,1,1,1,6
python-poetry/poetry,1,1,1,1,6
tqdm/tqdm,1,1,1,1,6
TykTechnologies/tyk,1,1,1,3,6
RIOT-OS/RIOT,1,1,1,2,6
tikv/tikv,1,1,1,1,6
rust-lang/rustfmt,1,1,1,1,6
saltstack/salt,1,1,1,1,6
spulec/moto,1,1,1,1,6
swaywm/sway,1,1,1,2,6
tensorflow/tensorflow,1,1,1,1,6
thelounge/thelounge,1,1,1,1,6
timescale/timescaledb,1,1,1,1,6
vmware-tanzu/velero,1,1,1,2,6
wagtail/wagtail,1,1,1,2,6
wazuh/wazuh,1,1,1,1,6
zulip/zulip,1,1,1,2,6
alibaba/nacos,0,1,2,0,5
apache/skywalking,0,1,2,1,5
bytecodealliance/wasmtime,0,1,2,1,5
freqtrade/freqtrade,0,1,2,0,5
gravitational/teleport,0,2,1,3,5
kiali/kiali,2,0,1,1,5
kubernetes/dashboard,0,1,2,1,5
nats-io/nats-server,0,1,2,1,5
netdata/netdata,0,1,2,1,5
TryGhost/Ghost,2,0,1,2,5
apache/superset,0,1,1,3,4
bokeh/bokeh,0,1,1,1,4
celery/celery,0,1,1,1,4
CesiumGS/cesium,1,1,0,1,4
facebook/jest,1,0,1,1,4
gnuradio/gnuradio,0,1,1,2,4
hashicorp/packer,0,1,1,1,4
highcharts/highcharts,0,1,1,0,4
influxdata/influxdb,1,0,1,3,4
ipython/ipython,0,1,1,3,4
jquery/jquery,0,1,1,2,4
keepassxreboot/keepassxc,0,1,1,1,4
Leaflet/Leaflet,0,1,1,1,4
localstack/localstack,0,1,1,0,4
matplotlib/matplotlib,0,1,1,1,4
matrix-org/synapse,1,0,1,2,4
minetest/minetest,0,1,1,1,4
musescore/MuseScore,0,1,1,3,4
NixOS/nix,0,1,1,2,4
nlohmann/json,0,1,1,3,4
numpy/numpy,0,1,1,1,4
OpenAPITools/openapi-generator,0,1,1,0,4
opencv/opencv,0,1,1,1,4
pandas-dev/pandas,0,1,1,1,4
pypa/pip,0,1,1,1,4
pytest-dev/pytest,0,1,1,1,4
python/cpython,0,1,1,2,4
sass/libsass,0,1,1,1,4
scikit-learn/scikit-learn,0,1,1,1,4
scrapy/scrapy,0,1,1,2,4
secdev/scapy,0,1,1,1,4
spyder-ide/spyder,0,1,1,0,4
twbs/bootstrap,0,1,1,1,4
vitessio/vitess,0,1,1,2,4
wenzhixin/bootstrap-table,0,1,1,1,4
wesnoth/wesnoth,0,1,1,1,4
xbmc/xbmc,0,1,1,3,4
zeek/zeek,0,1,1,3,4
bitcoin/bitcoin,0,1,0,2,2
ckeditor/ckeditor5,0,0,1,1,2
ether/etherpad-lite,0,1,0,1,2
LMMS/lmms,0,0,1,1,2
pyinstaller/pyinstaller,0,0,1,1,2
python-pillow/Pillow,0,1,0,1,2
Warzone2100/warzone2100,0,0,1,1,2
ethereum/go-ethereum,0,0,0,1,0
facebook/react,0,0,0,3,0
open-mpi/ompi,0,0,0,2,0
prometheus/prometheus,0,0,0,2,0
transmission/transmission,0,0,0,2,0
